Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),engine_no
MAZDA,MAZDA3 5-DOOR (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.2,6.1,7.3,39,168,54383
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2,4,M6,X,8.2,5.9,7.2,39,166,78425
MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,10.8,8.4,9.7,29,223,16056
MAZDA,MAZDA5,MINIVAN,2.5,4,M6,X,11.1,8.3,9.8,29,225,81890
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,8.8,6.2,7.6,37,175,36645
MAZDA,MAZDA6,MID-SIZE,2.5,4,M6,X,9.4,6.4,8.1,35,186,16278
MAZDA,MAZDA6 (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.4,5.9,7.3,39,168,54627
MAZDA,MX-5,TWO-SEATER,2,4,AS6,Z,11.5,8.5,10.2,28,235,55203
MAZDA,MX-5,TWO-SEATER,2,4,M5,Z,10.5,8.5,9.6,29,221,30695
MAZDA,MX-5,TWO-SEATER,2,4,M6,Z,11.1,8.4,9.9,29,228,32855
MERCEDES-BENZ,B 250,STATION WAGON - SMALL,2,4,AS7,Z,9.2,6.6,8,35,184,24634
MERCEDES-BENZ,C 250,COMPACT,1.8,4,AS7,Z,10.9,7.5,9.4,30,216,18976
MERCEDES-BENZ,C 250 COUPE,SUBCOMPACT,1.8,4,AS7,Z,11,7.4,9.4,30,216,53602
MERCEDES-BENZ,C 300 4MATIC FFV,COMPACT,3.5,6,AS7,Z,12.2,8.5,10.5,27,242,62972
MERCEDES-BENZ,C 300 4MATIC FFV,COMPACT,3.5,6,AS7,E,16.4,11.1,14,20,224,52049
MERCEDES-BENZ,C 350,COMPACT,3.5,6,AS7,Z,12,8.6,10.5,27,242,16149
MERCEDES-BENZ,C 350 4MATIC,COMPACT,3.5,6,AS7,Z,11.9,8.6,10.4,27,239,38600
MERCEDES-BENZ,C 350 4MATIC COUPE,SUBCOMPACT,3.5,6,AS7,Z,12.1,8.7,10.6,27,244,41715
MERCEDES-BENZ,C 350 COUPE,SUBCOMPACT,3.5,6,AS7,Z,12.1,8.6,10.5,27,242,48851
MERCEDES-BENZ,C 63 AMG,COMPACT,6.2,8,AS7,Z,17.7,11.9,15.1,19,347,78490
MERCEDES-BENZ,C 63 AMG COUPE,SUBCOMPACT,6.2,8,AS7,Z,17.9,12.2,15.3,18,352,54897
MERCEDES-BENZ,CL 550 4MATIC,COMPACT,4.7,8,AS7,Z,15.4,10.4,13.2,21,304,98681
MERCEDES-BENZ,CL 63 AMG,COMPACT,5.5,8,AS7,Z,15.4,11,13.4,21,308,36972
MERCEDES-BENZ,CLA 250,COMPACT,2,4,AS7,Z,9.1,6.2,7.8,36,179,58355
MERCEDES-BENZ,CLA 45 AMG 4MATIC,COMPACT,2,4,AS7,Z,10.3,7.8,9.2,31,212,92225
MERCEDES-BENZ,CLS 550 4MATIC,COMPACT,4.7,8,AS7,Z,13.3,9.4,11.5,25,264,56780
MERCEDES-BENZ,CLS 63 AMG 4MATIC,COMPACT,5.5,8,AS7,Z,15.1,10.7,13.1,22,301,19203
MERCEDES-BENZ,CLS 63 AMG S 4MATIC,COMPACT,5.5,8,AS7,Z,15.1,10.7,13.1,22,301,36343
MERCEDES-BENZ,E 250 BLUETEC 4MATIC,MID-SIZE,2.1,4,AS7,D,8.5,5.7,7.2,39,194,89577
MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,3.5,6,AS7,Z,11.8,8.2,10.2,28,235,65414
MERCEDES-BENZ,E 350 4MATIC,MID-SIZE,3.5,6,AS7,Z,11.6,8.1,10,28,230,78825
MERCEDES-BENZ,E 350 4MATIC COUPE,SUBCOMPACT,3.5,6,AS7,Z,11.9,8.5,10.4,27,239,24255
MERCEDES-BENZ,E 350 4MATIC WAGON,STATION WAGON - MID-SIZE,3.5,6,AS7,Z,12.1,8.6,10.5,27,242,61494
MERCEDES-BENZ,E 350 CABRIOLET,SUBCOMPACT,3.5,6,AS7,Z,12,8.5,10.4,27,239,64436
MERCEDES-BENZ,E 350 COUPE,SUBCOMPACT,3.5,6,AS7,Z,11.9,8.2,10.2,28,235,22757
MERCEDES-BENZ,E 400 HYBRID,MID-SIZE,3.5,6,AS7,Z,9.6,7.9,8.8,32,202,80471
MERCEDES-BENZ,E 550 4MATIC,MID-SIZE,4.7,8,AS7,Z,13.6,9.1,11.6,24,267,47591
MERCEDES-BENZ,E 550 CABRIOLET,SUBCOMPACT,4.7,8,AS7,Z,13.7,9.3,11.7,24,269,44002
MERCEDES-BENZ,E 550 COUPE,SUBCOMPACT,4.7,8,AS7,Z,13.4,8.9,11.4,25,262,27499
MERCEDES-BENZ,E 63 AMG 4MATIC,MID-SIZE,5.5,8,AS7,Z,15,10.3,12.9,22,297,92416
MERCEDES-BENZ,E 63 AMG 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.5,11,13.5,21,310,67036
MERCEDES-BENZ,E 63 AMG S 4MATIC,MID-SIZE,5.5,8,AS7,Z,15,10.3,12.9,22,297,18871
MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.5,11,13.5,21,310,83692
MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8,AS7,Z,20,15.9,18.2,16,419,24346
MERCEDES-BENZ,G 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,19.4,15.7,17.7,16,407,91254
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,SUV - STANDARD,3,6,AS7,D,13.4,10.2,12,24,324,73797
MERCEDES-BENZ,GL 450 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,17.1,12.8,15.2,19,350,17598
MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,17.6,13.1,15.6,18,359,91285
MERCEDES-BENZ,GL 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,17.7,13.4,15.8,18,363,68970
MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,SUV - SMALL,2.1,4,AS7,D,9.6,7.1,8.5,33,230,27248
MERCEDES-BENZ,GLK 350 4MATIC,SUV - SMALL,3.5,6,AS7,Z,12.6,9.6,11.3,25,260,76545
MERCEDES-BENZ,ML 350 4MATIC FFV,SUV - STANDARD,3.5,6,AS7,Z,13.4,10.5,12.1,23,278,22036
MERCEDES-BENZ,ML 350 4MATIC FFV,SUV - STANDARD,3.5,6,AS7,E,17.8,13.8,16,18,256,20611
MERCEDES-BENZ,ML 350 BLUETEC 4MATIC,SUV - STANDARD,3,6,AS7,D,11.8,8.5,10.3,27,278,23295
MERCEDES-BENZ,ML 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,16.2,11.8,14.2,20,327,27743
MERCEDES-BENZ,ML 63 AMG 4MATIC,SUV - STANDARD,5.5,8,AS7,Z,17.2,13.5,15.5,18,356,65042
MERCEDES-BENZ,S 550 4MATIC LWB,FULL-SIZE,4.7,8,AS7,Z,14.3,9.5,12.1,23,278,64597
MERCEDES-BENZ,S 550 4MATIC SWB,FULL-SIZE,4.7,8,AS7,Z,14.2,9.4,12,24,276,36002
MERCEDES-BENZ,S 63 AMG 4MATIC,FULL-SIZE,5.5,8,AS7,Z,15.6,10.3,13.2,21,304,21961
MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,AS7,Z,13.4,9.6,11.7,24,269,31586
MERCEDES-BENZ,SL 63 AMG,TWO-SEATER,5.5,8,AS7,Z,14.8,10.2,12.7,22,292,50630
MERCEDES-BENZ,SL 65 AMG,TWO-SEATER,6,8,AS7,Z,16.7,11.2,14.2,20,327,21029
MERCEDES-BENZ,SLK 250,TWO-SEATER,1.8,4,AS7,Z,10.3,7.2,8.9,32,205,84214
MERCEDES-BENZ,SLK 250,TWO-SEATER,1.8,4,M6,Z,10.4,7.3,9,31,207,71919
MERCEDES-BENZ,SLK 350,TWO-SEATER,3.5,6,AS7,Z,11.1,8.1,9.8,29,225,97482
MERCEDES-BENZ,SLK 55 AMG,TWO-SEATER,5.5,8,AS7,Z,12.3,8.7,10.7,26,246,69973
MERCEDES-BENZ,SLS AMG BLACK SERIES COUPE,TWO-SEATER,6.2,8,AS7,Z,18.7,13.9,16.5,17,380,98602
MERCEDES-BENZ,SLS AMG GT COUPE,TWO-SEATER,6.2,8,AS7,Z,18.2,12.6,15.7,18,361,25432
MERCEDES-BENZ,SLS AMG ROADSTER,TWO-SEATER,6.2,8,AS7,Z,18.2,12.6,15.7,18,361,94232
MINI,COOPER CLUBMAN,SUBCOMPACT,1.6,4,A6,Z,8.7,6.6,7.8,36,179,75330
MINI,COOPER CLUBMAN,SUBCOMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179,92245
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,A6,Z,8.7,6.6,7.8,36,179,17690
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179,64922
MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,A6,Z,9.4,7.9,8.7,32,200,32299
MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179,91327
MINI,COOPER COUPE,TWO-SEATER,1.6,4,A6,Z,8.5,6.6,7.6,37,175,94982
MINI,COOPER COUPE,TWO-SEATER,1.6,4,M6,Z,8,6.4,7.3,39,168,64452
MINI,COOPER PACEMAN,COMPACT,1.6,4,A6,Z,9.4,7.9,8.7,32,200,84315
MINI,COOPER PACEMAN,COMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179,15227
MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,A6,Z,8.7,6.6,7.8,36,179,18372
MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,M6,Z,8.6,6.8,7.8,36,179,46173
MINI,COOPER S CLUBMAN,SUBCOMPACT,1.6,4,A6,Z,9.3,7,8.3,34,191,48959
MINI,COOPER S CLUBMAN,SUBCOMPACT,1.6,4,M6,Z,9.1,6.7,8,35,184,55326
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,A6,Z,9.3,7,8.3,34,191,47658
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,9.1,6.7,8,35,184,19941
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,A6,Z,10,7.8,9,31,207,42340
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,M6,Z,9.3,7.5,8.5,33,196,56586
MINI,COOPER S COUPE,TWO-SEATER,1.6,4,A6,Z,9.3,7,8.3,34,191,67288
MINI,COOPER S COUPE,TWO-SEATER,1.6,4,M6,Z,9.1,6.7,8,35,184,67104
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,A6,Z,10,7.8,9,31,207,61011
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.3,7.5,8.5,33,196,23020
MINI,COOPER S ROADSTER,TWO-SEATER,1.6,4,A6,Z,9.3,7,8.3,34,191,95459
MINI,COOPER S ROADSTER,TWO-SEATER,1.6,4,M6,Z,9.1,6.7,8,35,184,17695
MINI,JOHN COOPER WORKS CLUBMAN,SUBCOMPACT,1.6,4,A6,Z,9.3,7,8.3,34,191,91896
MINI,JOHN COOPER WORKS CLUBMAN,SUBCOMPACT,1.6,4,M6,Z,9.1,6.7,8,35,184,97434
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,A6,Z,9.3,7,8.3,34,191,94579
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,9.1,6.7,8,35,184,25365
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,A6,Z,10,7.8,9,31,207,27431
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,M6,Z,9.3,7.5,8.5,33,196,68249
MINI,JOHN COOPER WORKS COUPE,TWO-SEATER,1.6,4,A6,Z,9.3,7,8.3,34,191,59565
MINI,JOHN COOPER WORKS COUPE,TWO-SEATER,1.6,4,M6,Z,9.1,6.7,8,35,184,60187
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,A6,Z,10,7.8,9,31,207,93534
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.3,7.5,8.5,33,196,40782
MINI,JOHN COOPER WORKS ROADSTER,TWO-SEATER,1.6,4,A6,Z,9.3,7,8.3,34,191,79555
MINI,JOHN COOPER WORKS ROADSTER,TWO-SEATER,1.6,4,M6,Z,9.1,6.7,8,35,184,96276
MITSUBISHI,LANCER,COMPACT,2,4,AV6,X,9.2,7,8.2,34,189,84050
MITSUBISHI,LANCER,COMPACT,2,4,M5,X,9.6,6.8,8.3,34,191,87359
MITSUBISHI,LANCER AWD,COMPACT,2.4,4,AV6,X,10.5,8.2,9.5,30,218,74792
MITSUBISHI,LANCER EVOLUTION,COMPACT,2,4,AM6,Z,14.2,10.5,12.5,23,288,54352
MITSUBISHI,LANCER EVOLUTION,COMPACT,2,4,M5,Z,14,10.3,12.3,23,283,96505
MITSUBISHI,LANCER RALLIART,COMPACT,2,4,AM6,Z,13.4,9.4,11.6,24,267,50253
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2,4,AV6,X,9.6,7.3,8.6,33,198,67586
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2,4,M5,X,9.8,7.1,8.6,33,198,52614
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.4,6,47,138,44107
MITSUBISHI,MIRAGE,COMPACT,1.2,3,M5,X,7,5.6,6.4,44,147,93038
MITSUBISHI,OUTLANDER,SUV - SMALL,2.4,4,AV6,X,9.5,7.5,8.6,33,198,75362
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4,AV6,X,9.9,8.1,9.1,31,209,25246
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,3,6,AS6,Z,11.5,8.5,10.2,28,235,76755
MITSUBISHI,RVR,SUV - SMALL,2,4,AV6,X,9.6,7.6,8.7,32,200,37584
MITSUBISHI,RVR,SUV - SMALL,2,4,M5,X,9.9,7.5,8.8,32,202,64829
MITSUBISHI,RVR 4WD,SUV - SMALL,2,4,AV6,X,9.8,8,9,31,207,49547
NISSAN,370Z,TWO-SEATER,3.7,6,AS7,Z,12.6,9.1,11,26,253,28664
NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,264,89974
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,AS7,Z,13,9.5,11.4,25,262,23527
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,M6,Z,13.5,9.6,11.7,24,269,95562
NISSAN,ALTIMA,MID-SIZE,2.5,4,AV,X,8.7,6.2,7.6,37,175,26610
NISSAN,ALTIMA,MID-SIZE,3.5,6,AV,X,10.8,7.4,9.3,30,214,82564
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,A5,X,19.1,13.4,16.5,17,380,79169
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,A5,X,13.7,10.6,12.3,23,283,70837
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,M5,X,12.2,10.2,11.3,25,260,36846
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4,6,A5,X,14.7,10.2,12.7,22,292,59384
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,A5,X,15.7,11.2,13.7,21,315,36732
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,M6,X,14.8,11,13.1,22,301,60508
NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,14.5,10.9,12.9,22,297,42810
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,AV,Z,8.7,7.3,8.1,35,186,64810
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,M6,Z,9.5,7.6,8.6,33,198,20065
NISSAN,JUKE AWD,STATION WAGON - SMALL,1.6,4,AV,Z,9.3,7.9,8.7,32,200,34237
NISSAN,MAXIMA,MID-SIZE,3.5,6,AV,Z,12.3,9.1,10.9,26,251,81165
NISSAN,MURANO AWD,SUV - SMALL,3.5,6,AV,X,13.2,10.1,11.8,24,271,96590
NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2,4,AV,X,10,8.5,9.3,30,214,30693
NISSAN,PATHFINDER,SUV - SMALL,3.5,6,AV,X,12,8.9,10.6,27,244,47095
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6,AV,X,12.3,9.3,11,26,253,27895
NISSAN,PATHFINDER HYBRID 4WD,SUV - STANDARD,2.5,4,AV,X,9.1,8.5,8.8,32,202,64313
NISSAN,QUEST,MINIVAN,3.5,6,AV,X,12.5,9.5,11.1,25,255,56910
NISSAN,ROGUE,SUV - SMALL,2.5,4,AV,X,9.2,7.2,8.3,34,191,36859
NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,AV,X,9.5,7.4,8.6,33,198,41188
NISSAN,SENTRA,MID-SIZE,1.8,4,AV,X,7.8,6,7,40,161,18433
NISSAN,SENTRA,MID-SIZE,1.8,4,M6,X,8.7,6.6,7.8,36,179,97327
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,17.9,12.8,15.6,18,359,86473
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,A5,X,19.7,14.3,17.3,16,398,52098
NISSAN,VERSA,COMPACT,1.6,4,AV,X,7.2,5.8,6.6,43,152,26029
NISSAN,VERSA,COMPACT,1.6,4,M5,X,8.6,6.5,7.7,37,177,97964
NISSAN,XTERRA 4WD,SUV - SMALL,4,6,A5,X,16.1,11.9,14.2,20,327,35545
NISSAN,XTERRA 4WD,SUV - SMALL,4,6,M6,X,15.2,11.9,13.7,21,315,78481
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,AM7,Z,11.6,8.3,10.1,28,232,66031
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,M7,Z,12.5,8.6,10.7,26,246,23120
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,AM7,Z,11.8,8.5,10.3,27,237,36697
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,M7,Z,12.4,8.6,10.7,26,246,16295
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,AM7,Z,12,8.7,10.5,27,242,71095
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,M7,Z,12.6,9,11,26,253,61344
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,AM7,Z,12.3,8.9,10.8,26,248,16490
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,M7,Z,12.8,8.9,11,26,253,45908
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,12.7,9,11,26,253,49449
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,M7,Z,12.9,9.1,11.2,25,258,32936
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,AM7,Z,11.6,8.3,10.1,28,232,55486
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,M7,Z,12.4,8.6,10.7,26,246,70318
PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6,AM7,Z,12.1,8.7,10.6,27,244,27531
PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6,M7,Z,12.6,8.6,10.8,26,248,92140
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,12.4,8.7,10.7,26,246,76271
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,M7,Z,12.6,8.8,10.9,26,251,20344
PORSCHE,911 GT3,TWO-SEATER,3.8,6,AM7,Z,16,11.5,14,20,322,80706
PORSCHE,911 TURBO,MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274,96819
PORSCHE,911 TURBO CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274,60553
PORSCHE,911 TURBO S,MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274,37300
PORSCHE,911 TURBO S CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274,98686
PORSCHE,BOXSTER,TWO-SEATER,2.7,6,AM7,Z,10.7,7.4,9.2,31,212,24381
PORSCHE,BOXSTER,TWO-SEATER,2.7,6,M6,Z,11.5,7.9,9.9,29,228,76894
PORSCHE,BOXSTER S,TWO-SEATER,3.4,6,AM7,Z,11.3,7.9,9.8,29,225,77592
PORSCHE,BOXSTER S,TWO-SEATER,3.4,6,M6,Z,11.9,8.6,10.4,27,239,90862
PORSCHE,CAYENNE,SUV - STANDARD,3.6,6,A8,Z,14.1,10.2,12.4,23,290,70749
PORSCHE,CAYENNE,SUV - STANDARD,3.6,6,M6,Z,15.8,10.9,13.6,21,313,70006
PORSCHE,CAYENNE DIESEL (modified),SUV - STANDARD,3,6,A8,D,11.8,8.1,10.2,28,277,29283
PORSCHE,CAYENNE GTS,SUV - STANDARD,4.8,8,A8,Z,16.7,11.5,14.4,20,338,31814
PORSCHE,CAYENNE S,SUV - STANDARD,4.8,8,A8,Z,15.5,10.7,13.2,21,310,37214
PORSCHE,CAYENNE S HYBRID,SUV - STANDARD,3,6,A8,Z,11.8,9.9,10.9,26,251,71069
PORSCHE,CAYENNE TURBO,SUV - STANDARD,4.8,8,A8,Z,16.3,11,13.9,20,326,50580
PORSCHE,CAYENNE TURBO S,SUV - STANDARD,4.8,8,A8,Z,18,11.9,15.2,19,358,55860
PORSCHE,CAYMAN,TWO-SEATER,2.7,6,AM7,Z,10.7,7.4,9.2,31,212,66985
PORSCHE,CAYMAN,TWO-SEATER,2.7,6,M6,Z,11.5,7.9,9.9,29,228,21906
PORSCHE,CAYMAN S,TWO-SEATER,3.4,6,AM7,Z,11.3,7.9,9.8,29,225,84715
PORSCHE,CAYMAN S,TWO-SEATER,3.4,6,M6,Z,11.9,8.6,10.4,27,239,23453
PORSCHE,PANAMERA,FULL-SIZE,3.6,6,AM7,Z,12.9,8.4,10.9,26,251,23512
PORSCHE,PANAMERA 4,FULL-SIZE,3.6,6,AM7,Z,13.1,8.7,11.1,25,255,51592
PORSCHE,PANAMERA 4S,FULL-SIZE,3,6,AM7,Z,13.4,8.8,11.3,25,260,93514
PORSCHE,PANAMERA 4S EXECUTIVE,FULL-SIZE,3,6,AM7,Z,13.7,8.9,11.5,25,264,83669
PORSCHE,PANAMERA GTS,FULL-SIZE,4.8,8,AM7,Z,15.1,9.7,12.7,22,292,68080
PORSCHE,PANAMERA S,FULL-SIZE,3,6,AM7,Z,13.4,8.8,11.3,25,260,79033
PORSCHE,PANAMERA TURBO,FULL-SIZE,4.8,8,AM7,Z,15.3,9.7,12.8,22,294,30548
PORSCHE,PANAMERA TURBO EXECUTIVE,FULL-SIZE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297,19027
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.1,12,14.8,19,340,69178
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A8,X,15.8,10.9,13.6,21,313,47834
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.6,12.7,15.4,18,354,50156
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A8,X,16.3,11.5,14.1,20,324,92135
RAM,1500 4X4 DIESEL,PICKUP TRUCK - STANDARD,3,6,A8,D,12.1,8.8,10.6,27,286,72825
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,X,14.6,10.1,12.6,22,290,56406
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,E,20.5,14.5,17.8,16,285,92591
RAM,1500 DIESEL,PICKUP TRUCK - STANDARD,3,6,A8,D,11.6,8.4,10.2,28,275,72160
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,X,13.9,9.5,11.9,24,274,80655
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,E,19.4,13.6,16.8,17,269,67566
RAM,1500 HFE,PICKUP TRUCK - STANDARD,3.6,6,A8,X,12.9,9.3,11.3,25,260,81014
RAM,CARGO VAN FFV,MINIVAN,3.6,6,A6,X,13.3,9.1,11.4,25,262,97052
RAM,CARGO VAN FFV,MINIVAN,3.6,6,A6,E,18.6,12.7,15.9,18,254,31786
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,A8,Z,19.1,12.3,16,18,368,72931
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12,A8,Z,19.1,12.3,16,18,368,82439
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,A8,Z,20.7,12.8,17.1,17,393,48686
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,A8,Z,20.7,12.8,17.1,17,393,62487
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12,A8,Z,20.7,12.7,17.1,17,393,52692
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12,A8,Z,20.7,12.7,17.1,17,393,46824
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12,A8,Z,18.7,11.8,15.6,18,359,21932
SCION,FR-S,MINICOMPACT,2,4,AS6,Z,9.6,7,8.4,34,193,83951
SCION,FR-S,MINICOMPACT,2,4,M6,Z,10.9,7.8,9.5,30,218,94193
SCION,iQ,MINICOMPACT,1.3,4,AV,X,6.6,5.7,6.2,46,143,53964
SCION,tC,COMPACT,2.5,4,AS6,X,10.2,7.5,9,31,207,70918
SCION,tC,COMPACT,2.5,4,M6,X,10.2,7.6,9,31,207,82215
SCION,xB,STATION WAGON - SMALL,2.4,4,AS4,X,10.9,8.6,9.9,29,228,28529
SCION,xB,STATION WAGON - SMALL,2.4,4,M5,X,10.9,8.6,9.9,29,228,15691
SCION,xD,SUBCOMPACT,1.8,4,A4,X,8.8,7.1,8,35,184,19183
SCION,xD,SUBCOMPACT,1.8,4,M5,X,8.6,7.1,7.9,36,182,93846
SMART,FORTWO CABRIOLET,TWO-SEATER,1,3,AM5,Z,6.9,5.7,6.4,44,147,75242
SMART,FORTWO COUPE,TWO-SEATER,1,3,AM5,Z,6.9,5.7,6.4,44,147,94231
SRT,VIPER COUPE,TWO-SEATER,8.4,10,M6,Z,20,13,16.9,17,389,21561
SRT,VIPER GTS COUPE,TWO-SEATER,8.4,10,M6,Z,20,13,16.9,17,389,39988
SUBARU,BRZ,MINICOMPACT,2,4,AS6,Z,9.6,7.1,8.5,33,196,53474
SUBARU,BRZ,MINICOMPACT,2,4,M6,Z,11,7.9,9.6,29,221,73582
SUBARU,FORESTER AWD,SUV - SMALL,2,4,AV,Z,10.2,8.6,9.5,30,218,54835
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,AV,X,9.6,7.4,8.6,33,198,87653
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,M6,X,10.9,8.3,9.7,29,223,60061
SUBARU,IMPREZA AWD,COMPACT,2,4,AV,X,8.7,6.6,7.8,36,179,41542
SUBARU,IMPREZA AWD,COMPACT,2,4,M5,X,9.6,7.1,8.5,33,196,83606
SUBARU,IMPREZA AWD,COMPACT,2.5,4,M5,Z,12.6,9.5,11.2,25,258,32480
